Ward Number,Neighbourhoods,Latitude,Longitude,AvgPricePerSqMtr,Population
80,CHANDNI CHOWK,28.65624046,77.23233032,70080,1978
109,JANAK PURI NORTH,28.6341095,77.21691132,128000,11038
117,JANAK PURI WEST,28.6341095,77.21691132,128000,20475
118,JANAK PURI SOUTH,28.60809,77.10353,128000,12151
135,KAKRAULA,28.6341095,77.21691132,33300,107229
241,DILSHAD GARDEN,28.67904091,77.3147583,56640,50557
242,NEW SEEMA PURI,28.68943024,77.32791901,11997,61730
243,NAND NAGRI,28.69668961,77.30387878,56640,10713
244,SUNDER NAGARI,28.6930294,77.31578827,774000,68639
246,ASHOK NAGAR,28.63451958,77.10176849,70380,50424
154,NIZAMUDDIN,28.59235001,77.24738312,246000,29450
156,BHOGAL,28.58275986,77.2487793,774000,46724
157,KASTURBA NAGAR,28.66994,77.29841,774000,40384
161,MALVIYA NAGAR,28.53393936,77.20702362,160000,35888
159,ANDREWSGANJ,28.56344032,77.22897339,246000,46561
165,VASANT VIHAR,28.56495094,77.16136169,774000,20147
166,MUNIRKA,28.55503082,77.17127228,246000,42344
168,NANAK PURA,28.62282944,77.11335754,774000,45217
171,VASANTKUNJ,28.53152084,77.15019226,160000,35354
180,DAKSHINPURI EXT.,28.6341095,77.21691132,46200,56234
191,SHAPUR JAT,28.54858017,77.21395111,774000,61669
192,GREATER KAILASH-I,28.54784012,77.23916626,246000,26280
194,EAST OF KAILASH,28.55631065,77.2490387,160000,16189
195,GOVIND PURI,28.53506088,77.26509094,56640,53579
196,KALKAJI,28.53660011,77.26094818,160000,49746
206,OKHLA,28.53248978,77.27838135,56640,86392
89,PAHAR GANJ,28.64595985,77.21492767,70080,47987
239,VIVEK VIHAR,28.66871071,77.31891632,46200,28226
240,DILSHAD COLONY,28.68268776,77.32740021,56640,55045
103,PUNJABI BAGH,28.66633987,77.12523651,160000,49968
97,KIRTI NAGAR,28.64818954,77.14270782,128000,46805
77,KASHMERE GATE,28.66394043,77.23518372,70080,276
78,MAJNU KA TILA,28.69664955,77.22769165,56640,40401
79,JAMA MASJID,28.64606094,77.23487854,70080,384
127,UTTAM NAGAR,28.61737061,77.05285645,56640,41545
129,DABRI,28.60758972,77.08721161,46200,59691
209,MAYUR VIHAR PHASE-I,28.61272049,77.30185699,128000,38587
21,ROHINI,28.72583771,77.14941406,70080,66482
57,PASCHIM VIHAR SOUTH,26.91795921,75.73343658,160000,55273
51,ROHINI EAST,28.6341095,77.21691132,70080,48118
50,ROHINI CENTRAL,28.71012,77.06501,70080,58558
45,ROHINI SOUTH,28.55489922,77.19190216,70080,62796
227,I.P EXTENTION,28.62932968,77.30010223,128000,61930
225,ANAND VIHAR,28.65356064,77.31372833,128000,54339
219,MAYUR VIHAR PHASE II,28.61330414,77.30529022,128000,66322
147,MAHAVIR ENCLAVE,28.60055923,77.07598114,70080,83031
95,EAST PATEL NAGAR,28.64852142,77.16551971,160000,53234
94,WEST PATEL NAGAR,28.64801025,77.1685791,160000,63810
91,KAROL BAGH,28.65044975,77.18872833,128000,29250
16,JAHANGIRPURI-I,28.72875977,77.17563629,46200,47002
105,RAJOURI GARDEN,28.64562035,77.1220932,128000,43740
111,HARI NAGAR,28.61200905,77.02410126,56640,39943
148,MADHU VIHAR,28.60408974,77.06337738,56640,64186
49,ROHINI NORTH,28.6341095,77.21691132,70080,39841
99,MOTI NAGAR,28.65671921,77.12960052,70080,35330
155,LAJPAT NAGAR,28.57028008,77.24698639,160000,41421
163,SAFDARJANG ENCLAVE,28.56475067,77.19463348,246000,34223
164,HAUZ KHAS,28.55109024,77.20400238,246000,27377
106,TAGORE GARDEN,28.64748001,77.11145782,46200,27002
224,PANDAV NAGAR,28.61458015,77.27574158,70080,52854
205,ZAKIR NAGAR,28.56752014,77.27979279,56640,74750
113,MAHAVIR NAGAR,28.6341095,77.21691132,70080,46141
153,DARYAGANJ,28.64613914,77.24359894,128000,13238
